title,brand,Category,Sub_Category,Column1,Column2,description
Sophia 7 in. H 4-Light Polished Chrome Flush Mount with Laminated Fabric Shades,Dainolite,,,,,"Whether commercial or residential, Dainolite will add a unique touch to any space with this fixture. 4-Light Flush Mount Polished Chrome Silver Overlay on White Shade. Includes 1-Year warranty."
Reach Desk Front Seat Car Desk in Urban Camouflage with Tablet Mount,AutoExec,,,,,"For all of those who love the great outdoors, we have created 2 new lines of camouflage car desks. Now you can take your weekend passion on the road with either a green or blue-urban camouflage printed vehicle desk. The Reach desk is our most ergonomic work solution available. The desk has a slide out arm that extends the work tray another 12 in. from the edge of the desk, providing an extra-long inch reach inch over to the mobile worker. The tray comes with a non-slip pad, providing extra security so the laptop or tablet with keyboard wont move around while working. There is an additional security strap for a laptop or a tablet with a built-in keyboard. Keep all of your valuables safe with the hidden storage space located beneath the desk work surface. Staying organized and securing loose items is important to the mobile worker and securing your office essentials improves productivity and reduces distractions."
31.7 in. Walnut Electric Fireplace with Mantel Package,Unbranded,,,,,"Featuring realistic flames and logs as well as embers, this electric fireplace creates a warm and cozy ambiance. A control panel on the fireplace allows the fireplace to be controlled manually. Furthermore, it comes with a remote so that you can operate it even from your bed or couch. In addition to keeping you warm and cozy, this fireplace will also add a sense of elegance and satisfaction to your decor."
Undermount Granite 18 in. Single Bowl Kitchen Sink in Black,Polaris Sinks,,,,,"The AstraGranite P508BL single bowl sink is made from a granite composite material that is comprised of 80% Quartzite and 20% Acrylic. The P508BL is stain and scratch resistant and can resist heat up to 550Â°. The smooth non-porous surface gives the sink anti-bacterial properties, leaving nowhere for bacteria to thrive. The smooth non-porous surface gives the sink anti-bacterial properties, leaving nowhere for bacteria to thrive. The overall dimensions of the sink are 17-3/4 in. x 16-7/8 in. x 7-3/4 in. and an 18 in. minimum cabinet size is required. The sink contains a 3-1/2 in. offset drain and is available in multiple colors. As always, our AstraGranite sinks are covered under a limited lifetime warranty for as long as you own the sink. Accessories are not included with this listing."
22.5 in Fluted Brown Ceramic Garden Stool,Emissary,,,,,"This Fluted ceramic garden stool with a Brown glaze is the perfect touch to any indoor or outdoor space. It can be used as a small side table, an extra-seat or as a planter pedestal. This collection offers the best combination of design and glazes."
Textile Classic 15 in. 3-Light Brushed Nickel Close-to-Ceiling Drum Flush Mount with Gray Linen Fabric Shade,Justice Design,,,,,The latest trends and distinctive styles from the brand you trust. Introducing EVOLV. A curated collection of today's hottest trends with the timeless style you've come to expect from Justice Design Group. Witness our lighting evolution and see why we are The Perfect Lighting Choice TM.
Carolina Crystal Collection 22 in. Gallery Wood Shelf with Towel Bar in Oil Rubbed Bronze,Allied Brass,,,,,"Reimagine your bathroom with this finely crafted gallery hardwood shelf with integrated towel bar and crystal accents. The gallery rail on the shelf is made of solid brass and will keep your items securely in place. Solid brass integrated towel bar provides a creative space for your towels. Traditional style and superior quality resonate from this hand crafted accessory. Featuring the finest hardwood and solid brass hardware this shelf is crafted for durability strength and style. One of the many coordinating accessories in the Allied Brass Collection of accessories, this decorative gallery hardwood shelf and integrated towel bar with the added dazzle of crystal is the perfect complement to your bathroom decor."
3-Piece 36 in. Black Medium Round Wood Coffee Table Set,Unbranded,,,,,"Refresh your living room with this stylish and contemporary 3-piece round table set that will add polish to your space. The clean lines of this set include a coffee table with a spacious black reclaimed wood look surface to showcase an artful arrangement, place some books or magazines or to set down a tray of snacks when entertaining. The matching end tables can hold a lamp with space to put down your drink. The tables are supported with a sturdy cross metal base in a solid black finish for a nice, simple overall design. This table set fits perfectly in a small living room, family room or office area without crowding a space or sacrificing style. Assembly is required."
Cuisine Cart Warm Oak Kitchen Cart with Towel Rack,HOMESTYLES,,,,,"Home Styles Cuisine Kitchen Cart in a warm oak finish with a 3/4 in. oak finished wood top features solid wood construction, and Utility drawer; 2-cabinet doors open to storage with adjustable shelf inside; Handy spice rack, Towel bar; Heavy duty locking rubber casters for easy mobility and safety. Size: 32.5 in. W x 18.75 in. D x 35.5 in. H. Assembly required."
Traditional Silver Wooden Vanity Table,Benjara,,,,,This transitional vanity table proudly displays gently curved legs that help draw attention to the carved details on the drawer panels. Spread out your makeup and beauty products across the two shelves or in the multiple drawers so everything is in one place. It enhances the beauty of the room.
Staffey 43.75 in. Black Classic Wood Back Bar Stool with Grey Upholstered-Seat (Set of 2),Linon Home Decor,,,,,"Pull up charming style to your home pub or bar with this classically styled Staffey 43.75 in. Black Classic Wood Back Bar Stool with Grey Upholstered Seat (Set of 2). Crafted from solid beechwood in a sleek black finish, it showcases a traditional clean lined frame with a slatted back, so it will pair well with any aesthetic from classic to coastal and beyond. Footrails improves comfort and stability, while a grey upholstered seat and curved back provide easy support. Arriving in a set of two, each chair has a weight capacity of 300 lbs."
,,,,,,
24 ft. x 24 ft. 260 GSM Reinforced (Super Ring) Grey Square Sun Shade Sail,COLOURTREE,,,,,"Take back your home's comfort with COLOURTREE Super Ring (Reinforced) Sun Shade Sails, built with care and made of premium 260 GSM 100% non-recycled high-density polyethylene (HDPE) and patented heavy-duty stainless steel mounting rings. Our shade sails are proven to hold up strong through wind, sun and rain, all the while providing cool shade and 95% UV blockage as well as lowering ambient temperature by at least 15Â°. Installation is easy with a corresponding COLOURTREE hardware installation kit. Hang them over your patio, lawn, garden, backyard, swimming pool, driveway, etc. to keep your area nice and cozy."
3.38 ft. Wide New Yorker Window/Entry Fixed Awning (31 in. H x 24 in. D) Brown/Tan,AWNTECH,,,,,"The Awntech New Yorker awning is a rigid valance door and window awning applicable for residential homes and commercial buildings. The patented modular awning framework is designed for seamless assembly and installation for any homeowner, DIY (Do-It-Yourself) project, or professional installer. The commercial grade aluminum frame is strategically handcrafted and the awning is closed off on both sides. The New Yorker comes with Beauty-Mark Brand 100% acrylic fabric offered in a variety of solid and stripe colors. The canopy fabric offers optimal shade, has a resistance coating to prevent mildew, water, fading and UV sun ray damage. Each New Yorker canopy comes with a rigid valance. Awntech fixed awnings are durable and engineered and tested to withstand high winds and heavy snow. They are pre-packaged, modular, light weight, are accessible to parts replacements, and have a five year limited warranty."
Tight Radius Stainless Steel 31 in. 18-Gauge Single Bowl Undermount Kitchen Sink with Spring Neck Faucet,Glacier Bay,,,,,"Glacier Bay All-In-One Under Mount R15 Tight Radius Corner Kitchen Sink can keep your kitchen looking chic, with an undermount format that fits seamlessly beneath countertops and cabinetry of every configuration. Made of durable 18-Gauge brushed stainless steel, the tight radius corners provide an elegant appearance and easy cleaning. Sound insulation reduces waste disposal and water noise to help keep your kitchen quiet while you work."
Lafayette 52 in. Indoor Pewter Ceiling Fan Pull Chain,HINKLEY,,,,,"With an intricate filigree motor housing and decorative blades, Lafayette is a traditional beauty. Available in multiple finish options, Lafayette offers reversible blades for maximum versatility and comes equipped with DC motor technology to deliver excellent energy efficiency. Blades are included with every fan."
,,,,,,
Hermosa 1-Light Black 32 in. Outdoor Wall Lantern Sconce,Progress Lighting,,,,,"Outdoor Mediterranean-style lanterns in the Hermosa family complement Transitional, Rustic Farmhouse and Modern Farmhouse exteriors. These large-scale pieces feature beautiful detail and a die cast aluminum frames. Wrought iron styling perfectly frames beautiful clear, water glass shades."
1 in. x 142 in. x 7-1/4 in. Polyurethane Crosshead Moulding with Flat Keystone,Ekena Millwork,,,,,"Remodelers, builders, and homeowners looking to enhance their next project by adding more curb appeal to the exterior of a home should consider crossheads. Crossheads are large casings that are typically placed at the top of a window, doorway or large entryway. Made of lightweight, yet durable high-density polyurethane, crossheads are easy for anyone to install. Feel free to choose from an amazing selection of sizes and style that will suit your project needs."
Prestige Regal 24 in. Floating Glass Shelf with Gallery Rail in Matte Gray,Allied Brass,,,,,"A floating shelf delivers a unique look to any bathroom or powder room. Unlike other shelves, the surface of our floating shelf is suspended below the arms instead of propped up by the brackets. This makes the shelf look like its floating in mid-air. The gallery rail on this shelf will keep your items and secure and in place. Our floating glass shelf features solid brass arms that reach down to the glass surface. Shelf also uses solid brass supports under the back edge of the glass for additional strength and support."
9 ft. Grey Aluminum Market Patio Umbrella with Crank Lift and Push-Button Tilt in Donovan Garden Pacifica Premium,California Umbrella,,,,,"Summer is the season to host friends and families outdoors within the warm and inviting space of your beautiful patio and everything needs to be perfect to impress them all. A delightful al fresco brunch is a step in the right direction and this Pacifica Premium Market Umbrella takes your event to the next level by combining delightful decor and deluxe shade in a spectacular fixture sure to take your guests' breath away. Composed of mold and mildew resistant solution-dyed acrylic fibers, this decorative and functional umbrella features water and stain resistant material that is both durable and soft to the touch. Sleek aluminum ribs support the spacious canopy, providing support so you can relax without fear of wayward breezes interrupting your afternoon event. A sturdy aluminum central pole helps hold everything in place, bringing unwavering stability to your shade. As guests arrive and enjoy your patio, easily push the umbrella open with the crank lift mechanism that provides durable and long-lasting ease-of-use for your patio. As the day progresses and the sun changes positions, a quick press of the push-button below the central hub allows the canopy to conveniently tilt and provide better protection from the changing light. Offering the quality comfort and peace of mind your patio deserves, this sophisticated patio umbrella features a mix of aesthetics and functionality that will enliven your outdoor patio space with fun and comfort made to last throughout the seasons."
Ascension by Cap Pannell Country Poster and Print 54 in. x 54 in.,Clicart,,,,,"Bring some larger-than-life style into your space with this Giant Art Canvas Print. Rendered on exquisite, eco-friendly materials with fade resistant archival inks, your bold canvas will makes a dramatic statement in any space. The unique ready to assemble stretching system includes instructions and all the hardware you'll need to display this enormous art print anywhere in your home. The high quality canvas lends the piece a real gallery feel, offering an immense artwork without compromising on quality. Note: Because of the huge dimensions, prints do not ship pre-assembled. The canvas will arrive rolled up with ready to assemble stretcher bars included. Archival light-fade resistant inks. Mirror edge over 1.5 in. deep aluminium stretcher bars. Includes a patented ready to assemble stretching system and hardware to mount."
,,,,,,
32 in. x 80 in. Right-Hand Hollow Core Stone Composite Single Prehung Interior Door,JELD-WEN,,,,,"JELD-WEN Statement Molded doors are prefinished with cutting edge, trend-right stains that will bring new life to your interior doors. They offer the look of an antique wood door with stains colors available for both interior and exterior doors. Our doors are constructed with strong, eco-friendly wood fibers to ease our environmental impact."
8 in. x 30 in. x 30 in. Westlake Craftsman Smooth Western Red Cedar Outlooker,Ekena Millwork,,,,,"Our Rustic Collection is an instant classic. Rustic wood millwork utilizes the technologies of today to build the 'log and timber' wood products that have been in architecture for centuries. Because our products are not kiln dried, each item in our Rustic Collection is 100% unique and will contain the natural variations that the wood species offers. Your wood bracket, corbel, rafter tail, will contain unique colors, grains, textures, knots, sapwood and heartwood content and possible sap bleeding and even natural checking, splitting and cracks. These natural variations are what make the Rustic Collection stand out from the rest. Be proud of your project; stand out from the cookie-cutter homes; use the Rustic Collection family of products."
,,,,,,
3/8 in. x 163 in. x 8-5/8 in. Polyurethane Bedford Crosshead Moulding,Ekena Millwork,,,,,"Remodelers, builders, and homeowners looking to enhance their next project by adding more curb appeal to the exterior of a home should consider crossheads. Crossheads are large casings that are typically placed at the top of a window, doorway or large entryway. Made of lightweight, yet durable high-density polyurethane, crossheads are easy for anyone to install. Feel free to choose from an amazing selection of sizes and style that will suit your project needs."
Two Inch Series 8 ft. x 8 ft. x 16.5 in. Versailles Sunburst Classic Sienna Composite Raised Garden Bed Kit,Frame It All,,,,,"Ooh-la-la! Bring a French flair to your garden with this elegant showstopper made possible with our revolutionary curved composite boards. With three levels and nine separate planting sections you will never run out of options for unique planting combinations. Stunning from every angle, this garden bed deserves to be the focal point of your yard or garden. It also makes a beautiful commemorative garden to celebrate an event or honor a loved one. Tool-free snap-lock joints make it simple to install. Your kit comes with everything you need except the soil and plants. Each modular kit includes sixteen of our 2"" Classic Sienna curved composite boards and sixteen of our 2"" tool-free snap-lock stacking brackets. The insulating open-channel boards trap air, providing insulation to your soil. Keeps soil warmer in the Spring and Fall, and cooler in the Summer, so you can grow for an extended period. Stacking brackets allow you to install the additional layers of your garden just by inserting the stakes into the brackets below. Our Raised Garden Bed Brackets pivot 270 degrees, allowing endless design options. As your garden needs and expertise grow you can add on to your modular raised bed any time by purchasing additional 2"" tool-free snap-lock kits, boards and anchor or stacking brackets to stack or extend your garden. Straight 2"" boards are also available to incorporate into your design."
"Performance Series 46,000 BTU Steel Gloss Black Patio Heater",Fire Sense,,,,,"The Performance Patio Heater is among the most powerful patio heaters on the market, with an output of an impressive 46,000 BTU's. Constructed of powder-coated steel with stainless accents, this heavy-duty unit features an electronic ignition system and wheels for easy mobility. This superior patio heater is perfect for the serious outdoor entertainer."
6 in. x 38 in. x 34 in. Western Red Cedar Balboa Traditional Rough Sawn Bracket,Ekena Millwork,,,,,"Our Rustic Collection is an instant classic. Rustic wood millwork utilizes the technologies of today to build the 'log and timber' wood products that have been in architecture for centuries. Because our products are not kiln dried, each item in our Rustic Collection is 100% unique and will contain the natural variations that the wood species offers. Your wood bracket, corbel, rafter tail, will contain unique colors, grains, textures, knots, sapwood and heartwood content and possible sap bleeding, and even natural checking, splitting and cracks. These natural variations are what make the Rustic Collection stand out from the rest. Be proud of your project; stand out from the cookie-cutter homes; use the Rustic Collection family of products."
6 in. x 6 in. x 8 ft. 3-Sided (U-Beam) Pecky Cypress Premium Aged Faux Wood Ceiling Beam,Ekena Millwork,,,,,"Our faux wood beams capture the rustic nature of authentic timber at a fraction of the cost and installation time. These specialty hand-finished, lightweight high-density polyurethane beams are simple to install over a wood block securely attached to a ceiling, wall or doorway. Our hand-crafted beams offer a green alternative to hard-to-find real timber, with unmatched authentic wood look. Our beams boast deep, detailed wood textures molded from real wood, and our custom finishes offer limitless possibilities, enabling you to choose just the right color and texture for your home. Enjoy high-end style, at an affordable cost."
6 in. x 32 in. x 32 in. Western Red Cedar Olympic Traditional Rough Sawn Bracket,Ekena Millwork,,,,,"Our Rustic Collection is an instant classic. Rustic wood millwork utilizes the technologies of today to build the 'log and timber' wood products that have been in architecture for centuries. Because our products are not kiln dried, each item in our Rustic Collection is 100% unique and will contain the natural variations that the wood species offers. Your wood bracket, corbel, rafter tail, will contain unique colors, grains, textures, knots, sapwood and heartwood content and possible sap bleeding, and even natural checking, splitting and cracks. These natural variations are what make the Rustic Collection stand out from the rest. Be proud of your project; stand out from the cookie-cutter homes; use the Rustic Collection family of products."
8 in. x 34 in. x 30 in. Balboa Arts and Crafts Rough Sawn Western Red Cedar Outlooker,Ekena Millwork,,,,,"Our Rustic Collection is an instant classic. Rustic wood millwork utilizes the technologies of today to build the 'log and timber' wood products that have been in architecture for centuries. Because our products are not kiln dried, each item in our Rustic Collection is 100% unique and will contain the natural variations that the wood species offers. Your wood bracket, corbel, rafter tail, will contain unique colors, grains, textures, knots, sapwood and heartwood content and possible sap bleeding and even natural checking, splitting and cracks. These natural variations are what make the Rustic Collection stand out from the rest. Be proud of your project; stand out from the cookie-cutter homes; use the Rustic Collection family of products."
,,,,,,
Faux Marble White Round Pedestal Table,Elevens,,,,,"""Simple is contemporary. This table lends a touch of elegance and impeccable style to any seating area. The round, smooth marble foil top contrasts perfectly with the SLIGHTLY SHINY metal finish, adding TIMELESS appeal to your decor. this table can remain an center piece in your dining area for years to come. We selected current marble pattern after reviewing more then 20 different marble foils, it looks more natural , morden and elegant."""
3.5 in. x 44 in. x 44 in. Western Red Cedar Westlake Arts and Crafts Smooth Bracket,Ekena Millwork,,,,,"Our Rustic Collection is an instant classic. Rustic wood millwork utilizes the technologies of today to build the 'log and timber' wood products that have been in architecture for centuries. Because our products are not kiln dried, each item in our Rustic Collection is 100% unique and will contain the natural variations that the wood species offers. Your wood bracket, corbel, rafter tail, will contain unique colors, grains, textures, knots, sapwood and heartwood content and possible sap bleeding and even natural checking, splitting and cracks. These natural variations are what make the Rustic Collection stand out from the rest. Be proud of your project; stand out from the cookie-cutter homes; use the Rustic Collection family of products."
,,,,,,
1-Spray Patterns 10 in. Showerhead Face Wall Mounted Dual Shower Heads in Spot Resist Chrome,matrix decor,,,,,"The versatility of this Shower System from American Standard allows everyone in the family to enjoy a truly personalized shower. Indulge in the drenching spray of the 10 in. Rain showerhead, the hand shower, individually or simultaneously, easily switching between all with the push-button diverter. Designed for hassle-free installation using existing plumbing, transforming an ordinary shower into an extraordinary spa experience in just 30 minutes."
4 in. x 6 in. x 6 ft. Rough Cedar Faux Wood Beam Fireplace Mantel in Aged Ash,Ekena Millwork,,,,,"Our faux wood mantels capture the rustic nature of authentic beams at a fraction of the cost and installation time. These hand-painted, lightweight composite mantels are simple to install over a wood block securely attached to studs in any fireplace or wall. You can also use them as a functional piece of art or a beautiful floating shelf."
,,,,,,
Harmony 650 25-1/2 in. Pedestal Combo in White,Barclay Products,,,,,"Barclay's new Harmony Pedestal Lavatory will make a splash in your bath decor. Featuring a semi-circular basin, Harmony is sized for a larger bathroom. The basin rests on a substantial column with an open back."
RoadMatic Complete Strut Assembly,Monroe Shock & Struts,,,,,"RoadMatic strut assemblies include all the components required for strut replacement in a single, fully-assembled unit. This fully integrated design helps reduce installation time, eliminating the need for a spring compressor, ensuring a complete repair. RoadMatic strut assemblies feature nitrogen gas charging, velocity proportional valving and all-weather fluid to deliver improved comfort at an economical price."
6 in. x 8 in. x 10 ft. 2-Sided (L-Beam) Riverwood White Washed Faux Wood Ceiling Beam,Ekena Millwork,,,,,"Faux wood beams are an amazing investment, providing an exquisite look to your home interiors. Compared to real wood beams, they are significantly lighter allowing for painless installation with reduced labor, they aren't susceptible to common issues of organic wood such as rot, termites and warping so maintenance is virtually zero. They are 2-3 times more affordable, all the while having beams that are indistinguishable from real wood."
1 in. x 157 in. x 7-1/4 in. Polyurethane Crosshead Moulding with Flat Keystone,Ekena Millwork,,,,,"Remodelers, builders, and homeowners looking to enhance their next project by adding more curb appeal to the exterior of a home should consider crossheads. Crossheads are large casings that are typically placed at the top of a window, doorway or large entryway. Made of lightweight, yet durable high-density polyurethane, crossheads are easy for anyone to install. Feel free to choose from an amazing selection of sizes and style that will suit your project needs."
Vehicle Speed Sensor,Motorcraft,,,,,"Motorcraft parts are recommended by Ford Motor Company and offer high-quality, vehicle-specific applications for Ford vehicles. Our extensive part line means that youll find the right part with the right fit the first time, helping to reduce vehicle downtime.Expect the right fit and durability plus a great warranty to back it up."
"16-1/8"" X 83""Timbercraft Rustic Wood Three 5-3/8""Framed Board and Batten Shutters with Z-Bar Rough Sawn Cedar(pair)",Ekena Millwork,,,,,"Because the exterior of your home is the first thing you and your visitors see, make your home stand out by adding the architectural appeal of our board-and-batten shutters. Dramatically increase curb appeal with our inexpensive assortment of rustic cedar shutters. With a variety of styles to choose from, including joined boards, spaced boards, framed boards and even the popular Z-Bar shutter, we are sure to have the perfect shutter for your home."
,,,,,,
Acacia 7 ft. L x 25 in. D x 1 in. T Butcher Block Countertop in Organic White Stain,Interbuild,,,,,"Acacia solid hardwood countertops are durable with a density comparable to Teak. This countertop is sourced in Vietnam with a Forestry Stewardship Council (FSC) certification which validates that it is a renewal resource. Acacia has very good wood-working properties and be cut and shaped with power tools. Under-mount sinks can be installed since it is solid wood construction, no veneers. It is suitable for indoor and outdoor use since it has inherent natural wood oils. In fact, acacia is the most-used hardwood for wet environments including kitchens, bathrooms, outdoor furniture and deck tiles. This acacia countertop is finished with Interbuild's hardwax natural wood oil finish that is food-safe, 100% free from Volatile Organic Compounds (VOCs) and does not have any peanut products used in the plant-based formula."
18 in. x 80 in. Princeton White Painted Smooth Solid Core Molded Composite MDF Interior Door Slab,JELD-WEN,,,,,"The 2-Panel Eyebrow Top Interior door from Jeld-Wen has a classic design profile that complements traditionally styled homes. This door features a modified cove and bead sticking profile and a smooth surface. We understand your time is valuable and we want to make the process of updating your home as easy as possible. Our factory-finish doors have a beautiful smooth finish that you cannot achieve by painting your doors with a brush. Solid core construction reduces sound transmission by up to 50 percent (compared to a hollow flush door). It also helps prevent the dents and dings of daily life. One way Jeld-Wen supports sustainable construction is by using recycled materials in the production of our Molded Interior doors. In fact, these molded door skins are made using 80% recycled content."
43.3 in. Rectangle Black Wood Top with Metal Frame (Seats 4),Unbranded,,,,,"This Dining table is full of a distinct medieval appearance, illustrated by its steel base in Eiffel style. Suitable for home or office, also suit for Cafe, Lobby, Balcony and so on. This Black MDF Dining table can be combined with any type of interior of modern design. Modern Dining table top is made of environment friendly material.Great durability,resistance to scratches and waterproof. Child friendly with beveled edge of the top prevent injuries."
,,,,,,
Anchester Assembled 30x15x12 in. Wall Cabinet with 2 Doors no Shelf in Light Gray,LIFEART CABINETRY,,,,,"LIFEART CABINETRY is made with the best plywood that is certificated with High Quality Imported Woods, High Quality Paint, and KCMA (Kitchen Cabinet Manufacturer Association Certificate). Environmentally, LIFEART CABINETRY is complied with CARB (California Air Resources Board), and officially certified to contain ZERO VOC (Volatile Organic Compounds), the harmful air pollutants. Besides good quality, all cabinets are well designed with abundant models and colors for you to choose from, so as to give a perfect look to your kitchen. So, take your time to do some research and find the cabinets with the best finishes that suit for your kitchen."
5 gal. #PPG1091-6 Tan Your Hide Semi-Gloss Interior Paint and Primer,PPG UltraLast,,,,,"Backed by 135 years of coatings expertise, PPG UltraLast Interior Paint and Primer delivers unprecedented washability that sets a new standard for super-premium interior paints. Proprietary Clean Surface Technology is a powerful integration of automotive and industrial coatings technology that delivers easy removal of stains and scuffs, as well as exceptional resistance to color loss and gloss change - in any sheen and paint color. Choose PPG UltraLast to keep walls looking clean and fresh until it is time to change the paint color."
1 in. x 72 in. x 36 in. (12/12) Pitch Midway Gable Pediment Architectural Grade PVC Moulding,Ekena Millwork,,,,,"From simple to intricate in any style, our gable pediments will crown your home with unique style. Increase the value of your home and create a signature focal point with an affordable, easily installed gable pediment. The unmatched flair and decoration gable pediments offer can completely change the appearance of the exterior of your home with a stylish signature feature."
34 in. x 96 in. 1 Panel Wood Core White Primed Smooth MDF Interior Door Slab,CODEL DOORS,,,,,"The CODEL DOORS 34 in. x 96 in. 1-Panel Solid Wood White Primed Smooth MDF Interior Door will enhance the warmth and beauty of any home. Our 1-Panel square edge sticking provides a clean look and will make a memorable impression on your home's interior. The 1-3/8 in. thick, solid wood core features true stile and rail construction. This smooth unfinished door slab is ready to be painted to match your decor. New or old, our shaker panel doors will enhance any home."
Marion Square 1-Light Black Outdoor Pendant Light,Quoizel,,,,,Create a welcoming look for you and your guests with the Marion Square collection. The rectangular silhouette is finished in Rustic Black and complemented by a painted Aged Walnut Wood for a transitional yet rustic style fixture. The open steel frame highlights the clear glass cylindrical shade and evokes a bright light within your home's exterior.
,,,,,,
5 ft. x 161 ft. Brown Privacy Fence Screen Mesh Cover Screen with Reinforced Grommets for Garden Fence (Custom Size),COLOURTREE,,,,,"Tired of your neighbor's dog barking at your kids or your neighbor spying on you. Protect your privacy with COLOURTREE Privacy Fence Screens, built with care and made of 170 GSM 100% non-recycled high-density polyethylene (HDPE), reinforced stitched edges with black bindings and durable anti-rust brass grommets. Our fence screens are proven to hold up strong through wind, sun and rain while providing 90% visibility and 93% UV blockage. Installation is simple with zip ties and a generous amount of grommets to keep a tight fit. Our wide variety of colors and sizes are ideal for both residential and industrial fences, providing style and privacy to your backyard, patio, tennis court, pool, construction project, park, etc."
"30 in. Height Adjustable Mobile Laptop Desk, White Lacquered Aluminum Base with MDF Top",Unbranded,,,,,"With its compact frame and locking caster wheels, this adjustable standing desk provides an ideal on-the-go workspace so you can tackle your to-do list from any spot in your home or office. This portable standing desk is crafted with a silver-finished steel frame and an engineered wood top with the capacity to support up to 40 lbs. Since this desk adjusts in height to either 30.75"" or 40"" tall, you can choose to sit or stand depending on your needs."
,,,,,,
"Class 1 Trailer Hitch, 1-1/4"" Ball Mount, Select Volkswagen Corrado, Towing Draw Bar",CURT,,,,,"A CURT class 1 hitch is a great way to equip your car, minivan or crossover for towing a light-duty trailer, cargo carrier or bike rack. Each is made to fit a specific vehicle, providing easier installation, a better fit and optimal towing capacity. All CURT trailer hitches are rigorously tested to SAE J684 specifications for safety and are finished with a durable powder coat and liquid Bonderite, inside and out, for industry-leading rust, chip and UV resistance."
16-Gauge-Sinks Vessel Sink in White,Unbranded,,,,,It features a rectangle shape. This 16-Gauge-Sinks vessel is designed to be installed as a wall mount vessel. It is constructed with ceramic. This 16-Gauge-Sinks vessel comes with a enamel glaze finish in White color. It is designed for a 1-hole faucet.
Grey Fabric Down Feather Filled Ottoman,HomeSullivan,,,,,"Give your living room space a luxurious place for you and your family to sit with the traditional Grey Fabric Down-filled Seating. A spin on a traditional styled seating, the contemporary track arms and simple silhouette blend seamlessly in a variety of styled spaces giving this seating. Premium-quality foam filling wrapped in soft grey linen upholstery for unmatched durability and comfort. Dark espresso colored wood block feet make this majestic seating chicly grounded."
1/2 HP C.I. Elevator Sump Pump,Liberty Pumps,,,,,"The ELV-Series sump pumps are designed and approved for safe operation of pumping, alarming and monitoring of elevator sump pits, transformer vaults and other applications where oil and water must be detected. Ideal for elevators, garages and areas where the discharge of oil/hydrocarbons into the environment is prohibited. Compliant with ASME A17.1."
Lodge 26 in. Beige Fabric Brown Wood Gun Metal Swivel Counter Stool,Amisco,,,,,"Factory styleyet another legacy of the industrial age. The Lodge stool brings a harmonious contrast created from clean metal details that play up the warmth of aged wood. How could you resist its wooden backrest or its sleek base with arched foot rest. This model is all no-frills function, with a look ideal for accenting the wood, metal, or concrete finish of your islandthe focal point of your kitchen."
32-1/4 in. X 39 in.Timbercraft Rustic Wood Six 5-3/8 in.Framed Board and Batten Shutters Rough Sawn Cedar (Per Pair),Ekena Millwork,,,,,"Because the exterior of your home is the first thing you and your visitors see, make your home stand out by adding the architectural appeal of our board-and-batten shutters. Dramatically increase curb appeal with our inexpensive assortment of rustic cedar shutters. With a variety of styles to choose from, including joined boards, spaced boards, framed boards and even the popular Z-Bar shutter, we are sure to have the perfect shutter for your home."
118 in. Market Patio Umbrella in Coffee,Unbranded,,,,,"Even on the sunniest day, you can enjoy your outdoor living spaces and remain cooler by using this outdoor patio umbrella. It is probably a great way to stay outside to lower absorbing the harmful uv rays of the sun, which causes serious sunburns or even skin cancers. At the same time, it is a perfect choice when there is time that rain to spot and you still want to enjoy the outdoor scenery and cool breeze. Get 1 now and start your wonderful outdoor activities."
,,,,,,
,,,,,,
36 in. x 80 in. 2-Panel Arch Top Solid Core Textured Primed Composite Single Prehung Interior Door,Masonite,,,,,"Enjoy refined style and easy elegance with the Masonite Textured 2-Panel Solid Core Primed Composite Prehung Interior Door. The industry benchmark for all composite wood doors, our expert construction results in a more durable door that resists warping, shrinking, and cracking better than a solid wood door. Solid-Core Panels help reduce the sound transmission in your home. Select designs offered in coordinating bifold and factory double prehung units."
5.5 in. x 30 in. x 22 in. Douglas Fir Merced Traditional Smooth Bracket,Ekena Millwork,,,,,"Our Rustic Collection is an instant classic. Rustic wood millwork utilizes the technologies of today to build the 'log and timber' wood products that have been in architecture for centuries. Because our products are not kiln dried, each item in our Rustic"
36 in. x 80 in. 300 Series Bronze Universal Triple-Track Aluminum Storm Door with Brass Hardware,EMCO,,,,,"The EMCO 300 Series 36 in. Bronze Triple-Track Storm Door allows you to get ventilation from the top, bottom or both simultaneously. Each glass pane operates independently behind the fixed screen. 1 in. aluminum frame protects the moisture resistant composite core and a separate deadbolt and tamper-resistant hinges provide additional peace of mind. Reversible handing offers flexible installation."
,,,,,,
,,,,,,
36 in. 380 CFM Convertible Wall Mount Range Hood in Stainless Steel with LED Lighting and Permanent Filters,Empava,,,,,"The 36 in. 380 CFM Wall Mount Range Hood with the USA and Canada ETL Certified is a Perfect Combination of Style and Practicality. The Ultra-Quiet Motor Do an Incredible Job at Quickly Remove Smoke and Other Cooking Odors from the Air. Come with a Gently Rounded Corners Design, Creates a Focal Point with a Distinctive Modern Look. Removable, Reusable, Dishwasher-Safe Stainless-Steel Filter For Easy Cleaning and Maintenance. Two Bright LEDs Shine Light on Your Stovetop for Better Cooking Visibility. During the Past Years, Empava Range Hoods Have Been a Very Popular Choice for Kitchen Upgrades and New Builds."
